#1 = Amery, 2 = Amundsen, 3 = Dronning, 4 = Peninsula, 5 = Ronne, 6 = Ross, 7 = Victoria, 8 = Wilkes
#lat,long,region
-78.5,-53.125,5
-78.5,-51.875,5
-78.5,-51.25,5
-78.5,-50.625,5
-78.5,-43.125,5
-78.5,-41.875,5
-78.5,-40.625,5
-78.5,-39.375,5
-78.5,-38.125,5
-78.5,-37.5,5
-78.5,-36.875,5
-78.5,166.88,6
-78.5,167.5,6
-78.5,168.12,6
-78.5,168.75,6
-78.5,170,6
-78.5,171.25,6
-78.5,172.5,6
-78.5,173.75,6
-78.5,175,6
-78.5,176.25,6
-78.5,177.5,6
-78.5,178.75,6
-78,-158.75,6
-78,-80,5
-78,-79.375,5
-78,-72.5,5
-78,-71.25,5
-78,-70,5
-78,-68.75,5
-78,-66.875,5
-78,-65,5
-78,-63.125,5
-78,-61.25,5
-78,-59.375,5
-78,-57.5,5
-78,-55.625,5
-78,-53.75,5
-78,-52.5,5
-78,-51.25,5
-78,-50.625,5
-78,-50,5
-78,-49.375,5
-78,-41.875,5
-78,-41.25,5
-78,166.25,6
-78,166.88,6
-78,167.5,6
-78,168.12,6
-78,168.75,6
-78,170,6
-78,171.25,6
-78,172.5,6
-78,173.75,6
-78,175,6
-78,176.25,6
-77.5,-150.62,2
-77.5,-150,2
-77.5,-73.75,5
-77.5,-73.125,5
-77.5,-71.875,5
-77.5,-70.625,5
-77.5,-69.375,5
-77.5,-67.5,5
-77.5,-65.625,5
-77.5,-64.375,5
-77.5,-62.5,5
-77.5,-61.25,5
-77.5,-60,5
-77.5,-58.125,5
-77.5,-56.25,5
-77.5,-53.75,5
-77.5,-53.125,5
-77.5,-52.5,5
-77.5,-51.875,5
-77.5,-51.25,5
-77.5,-50.625,5
-77.5,-50,5
-77,-149.38,2
-77,-148.12,2
-77,-147.5,2
-77,-146.88,2
-77,-76.25,5
-77,-75.625,5
-77,-75,5
-77,-74.375,5
-77,-73.75,5
-77,-72.5,5
-77,-71.25,5
-77,-70,5
-77,-68.75,5
-77,-67.5,5
-77,-66.25,5
-77,-65.625,5
-77,-64.375,5
-77,-63.125,5
-77,-61.875,5
-77,-60.625,5
-77,-59.375,5
-77,-58.125,5
-77,-56.875,5
-77,-55.625,5
-77,-55,5
-76.5,-148.75,2
-76.5,-148.12,2
-76.5,-147.5,2
-76.5,-146.88,2
-76.5,-77.5,5
-76.5,-67.5,5
-76.5,-66.875,5
-76.5,-66.25,5
-76.5,-65.625,5
-76.5,-65,5
-76.5,-64.375,5
-76.5,-63.75,5
-76.5,-63.125,5
-76.5,-62.5,5
-76.5,-61.25,5
-76.5,-60,5
-76.5,-58.75,5
-76.5,-57.5,5
-76,-65.625,5
-76,-65,5
-76,-64.375,5
-76,-63.75,5
-76,-63.125,5
-76,-62.5,5
-76,-61.875,5
-76,-61.25,5
-76,-60.625,5
-76,-59.375,5
-75.5,-63.125,5
-75.5,-62.5,5
-75.5,-61.875,5
-75.5,-61.25,5
-75.5,-24.375,3
-75.5,-23.75,3
-75.5,-22.5,3
-75.5,-21.875,3
-75.5,-20.625,3
-75,-110,2
-75,-109.38,2
-75,-106.88,2
-75,-106.25,2
-75,-105.62,2
-75,-100.62,2
-75,-100,2
-75,-23.125,3
-75,-22.5,3
-75,-21.875,3
-75,-21.25,3
-75,-20.625,3
-75,-20,3
-75,-19.375,3
-75,-18.75,3
-74.5,-130.62,2
-74.5,-129.38,2
-74.5,-128.75,2
-74.5,-128.12,2
-74.5,-126.88,2
-74.5,-125.62,2
-74.5,-124.38,2
-74.5,-121.25,2
-74.5,-113.12,2
-74.5,-112.5,2
-74.5,-100.62,2
-74.5,-21.875,3
-74.5,-21.25,3
-74.5,-20.625,3
-74.5,-20,3
-74.5,-19.375,3
-74.5,-18.125,3
-74,-126.88,2
-74,-126.25,2
-74,-123.75,2
-74,-123.12,2
-74,-19.375,3
-74,-18.75,3
-74,-18.125,3
-74,-17.5,3
-74,-16.875,3
-74,-16.25,3
-73.5,-101.25,2
-73.5,-100.62,2
-73.5,-76.25,4
-73.5,-18.75,3
-73.5,-18.125,3
-73.5,-17.5,3
-73.5,-16.875,3
-73,-101.88,2
-73,-100.62,2
-73,-100,2
-73,-99.375,2
-73,-98.125,2
-73,-96.875,2
-73,-96.25,2
-73,-95.625,2
-73,-94.375,2
-73,-92.5,2
-73,-90.625,2
-73,-89.375,2
-73,-88.125,2
-73,-76.875,4
-73,-71.25,4
-73,-70.625,4
-73,-70,4
-73,-18.125,3
-73,-17.5,3
-73,-16.875,3
-73,-16.25,3
-73,-15.625,3
-73,-15,3
-72.5,-101.88,2
-72.5,-101.25,2
-72.5,-100.62,2
-72.5,-99.375,2
-72.5,-68.75,4
-72.5,-68.125,4
-72.5,-15,3
-72.5,-14.375,3
-72.5,-13.75,3
-72.5,-13.125,3
-72,-72.5,4
-72,-71.875,4
-72,-11.875,3
-72,-11.25,3
-72,68.125,1
-72,68.75,1
-72,69.375,1
-71.5,-10.625,3
-71.5,-0.625,3
-71.5,68.75,1
-71.5,69.375,1
-71.5,70,1
-71.5,70.625,1
-71,-72.5,4
-71,-71.875,4
-71,-9.375,3
-71,-8.125,3
-71,-5,3
-71,-3.75,3
-71,-3.125,3
-71,-1.875,3
-71,-1.25,3
-71,0.625,3
-71,1.25,3
-71,69.375,1
-71,70,1
-71,70.625,1
-71,71.25,1
-70.5,-73.125,4
-70.5,-71.875,4
-70.5,-3.75,3
-70.5,-2.5,3
-70.5,-1.875,3
-70.5,-0.625,3
-70.5,0.625,3
-70.5,1.25,3
-70.5,1.875,3
-70.5,2.5,3
-70.5,4.375,3
-70.5,5,3
-70.5,6.25,3
-70.5,7.5,3
-70.5,10.625,3
-70.5,11.25,3
-70.5,18.125,3
-70.5,19.375,3
-70.5,20,3
-70.5,20.625,3
-70.5,21.25,3
-70.5,22.5,3
-70.5,23.125,3
-70.5,25,3
-70.5,25.625,3
-70.5,26.875,3
-70.5,28.125,3
-70.5,28.75,3
-70.5,69.375,1
-70.5,70,1
-70.5,70.625,1
-70.5,71.25,1
-70,-72.5,4
-70,-71.875,4
-70,-0.625,3
-70,13.75,3
-70,14.375,3
-70,15.625,3
-70,16.25,3
-70,29.375,3
-70,30,3
-70,30.625,3
-70,31.25,3
-70,31.875,3
-70,68.75,1
-70,69.375,1
-70,70,1
-70,70.625,1
-70,71.25,1
-70,71.875,1
-70,72.5,1
-69.5,32.5,3
-69.5,69.375,1
-69.5,70,1
-69.5,70.625,1
-69.5,71.25,1
-69.5,71.875,1
-69.5,72.5,1
-69,-62.5,4
-69,-61.875,4
-69,-61.25,4
-69,70,1
-69,70.625,1
-68.5,-64.375,4
-68.5,-63.125,4
-68.5,-62.5,4
-68.5,-61.25,4
-68.5,-60.625,4
-68,-64.375,4
-68,-63.75,4
-68,-63.125,4
-68,-62.5,4
-68,-61.875,4
-68,-61.25,4
-68,146.88,7
-67.5,-64.375,4
-67.5,-63.75,4
-67.5,-63.125,4
-67.5,-62.5,4
-67.5,-61.875,4
-67.5,-61.25,4
-67.5,82.5,1
-67,-63.75,4
-67,-63.125,4
-67,-62.5,4
-67,-61.875,4
-67,84.375,1
-67,85.625,1
-67,115.62,8
-67,116.25,8
-67,121.25,8
-66.5,-63.125,4
-66.5,-62.5,4
-66.5,-61.875,4
-66.5,-61.25,4
-66.5,86.25,1
-66.5,86.875,1
-66.5,87.5,1
-66,-61.875,4
-66,96.25,8
-66,96.875,8
-66,98.125,8
-66,98.75,8
-66,100,8
