#Amery = 115, West = 102, Publications = 104, Venable = 53, Abbot = 110, Cosgrove = 54, PIG = 55, Thwaites = 56, crosson = 57, Dotson = 58, Getz = 60, Nickerson = 64, Sulzberger = 65,Brunt = 36, Riiser-Larsen = 37, Quar = 38, Ekstrom = 39, Atka = 124, Jelbaert = 125, Fimbil = 121, Vigrid = 123, Nivlisen = 122, Lazarez = 120, Borchgrevink = 119, Baudouin = 118, Prince Herald = 158, scar inlet = 51, Larsen C = 8, Larsen D = 6, Larsen E = 7, N GVIIS = 45, S GVIIS = 44, Bach = 46, Stange = 52, Wilkins = 50, Ronne = 34, Filchner = 35, Ross West = 70, Ross East = 71, Mertz = 91,  Ninnis = 162, Cook = 90, Rennick = 86, Mariner = 83, Drygalski = 73, Nansen = 74, Dibble = 114, Shackleton = 100, Tracy Tremenchus = 24, Conger Glenzer = 99, Vincennes Bay = 159, Totten = 98, Moscow uni = 157, Holmes = 156
#lat,long,region
-79.5,-38.75,35
-79.5,-36.875,35
-79.5,-35.625,35
-79.5,-34.375,35
-79.5,-33.125,35
-79.5,-32.5,35
-79.5,-31.875,35
-79.5,-31.25,35
-79.5,161.88,71
-79.5,162.5,71
-79.5,163.12,71
-79.5,163.75,71
-79.5,164.38,71
-79.5,165,71
-79.5,165.62,71
-79.5,166.88,71
-79.5,168.12,71
-79.5,169.38,71
-79.5,170.62,71
-79.5,171.88,71
-79.5,173.12,71
-79.5,174.38,71
-79.5,175.62,71
-79.5,176.88,71
-79.5,178.75,70
-79,-180,70
-79,-178.75,70
-79,-177.5,70
-79,-175.62,70
-79,-173.75,70
-79,-172.5,70
-79,-171.25,70
-79,-170,70
-79,-168.75,70
-79,-167.5,70
-79,-166.25,70
-79,-165,70
-79,-160,70
-79,-158.75,70
-79,-156.25,70
-79,-81.25,34
-79,-80,34
-79,-78.75,34
-79,-78.125,34
-79,-76.875,34
-79,-75.625,34
-79,-74.375,34
-79,-73.125,34
-79,-71.875,34
-79,-67.5,34
-79,-66.25,34
-79,-65,34
-79,-63.125,34
-79,-61.25,34
-79,-59.375,34
-79,-57.5,34
-79,-55,34
-79,-53.75,34
-79,-52.5,34
-79,-51.875,34
-79,-51.25,34
-79,-50.625,34
-79,-43.125,35
-79,-42.5,35
-79,-41.25,35
-79,-40.625,35
-79,-39.375,35
-79,-38.125,35
-79,-36.875,35
-79,-35.625,35
-79,163.75,71
-79,165,71
-79,165.62,71
-79,166.88,71
-79,168.12,71
-79,169.38,71
-79,170,71
-79,170.62,71
-79,171.25,71
-79,172.5,71
-79,173.75,71
-79,175,71
-79,176.25,71
-79,177.5,71
-79,178.75,71
-78.5,-180,70
-78.5,-179.38,70
-78.5,-178.75,70
-78.5,-162.5,70
-78.5,-161.88,70
-78.5,-160.62,70
-78.5,-158.12,70
-78.5,-156.88,70
-78.5,-156.25,70
